City mpg,Classification,Driveline,Fuel Type,Highway mpg,Horsepower,Hybrid,ID,Make,Model Year,Year
18,Automatic transmission,All-wheel drive,Gasoline,25,250,FALSE,2009 Audi A3 3.2,Audi,2009 Audi A3,2009
22,Automatic transmission,Front-wheel drive,Gasoline,28,200,FALSE,2009 Audi A3 2.0 T AT,Audi,2009 Audi A3,2009
21,Manual transmission,Front-wheel drive,Gasoline,30,200,FALSE,2009 Audi A3 2.0 T,Audi,2009 Audi A3,2009
21,Automatic transmission,All-wheel drive,Gasoline,28,200,FALSE,2009 Audi A3 2.0 T Quattro,Audi,2009 Audi A3,2009
21,Automatic transmission,All-wheel drive,Gasoline,28,200,FALSE,2009 Audi A3 2.0 T Quattro,Audi,2009 Audi A3,2009
16,Manual transmission,All-wheel drive,Gasoline,27,265,FALSE,2009 Audi A5 3.2,Audi,2009 Audi A5,2009
17,Automatic transmission,All-wheel drive,Gasoline,26,265,FALSE,2009 Audi A5 3.2 AT,Audi,2009 Audi A5,2009
13,Automatic transmission,All-wheel drive,Gasoline,18,350,FALSE,2009 Audi Q7 4.2,Audi,2009 Audi Q7,2009
14,Automatic transmission,All-wheel drive,Gasoline,20,280,FALSE,2009 Audi Q7 3.6,Audi,2009 Audi Q7,2009
22,Manual transmission,All-wheel drive,Gasoline,30,211,FALSE,2009 Audi A4 Sedan 2.0 T Quattro,Audi,2009 Audi A4 Sedan,2009
21,Automatic transmission,All-wheel drive,Gasoline,27,211,FALSE,2009 Audi A4 Sedan 2.0 T Quattro AT,Audi,2009 Audi A4 Sedan,2009
17,Automatic transmission,All-wheel drive,Gasoline,26,265,FALSE,2009 Audi A4 Sedan 3.2,Audi,2009 Audi A4 Sedan,2009
20,Automatic transmission,Front-wheel drive,Gasoline,29,280,FALSE,2012 Acura TL,Acura,2012 Acura TL,2012
18,Automatic transmission,All-wheel drive,Gasoline,26,305,FALSE,2012 Acura TL SH-AWD,Acura,2012 Acura TL,2012
12,Automatic transmission,All-wheel drive,Gasoline,17,555,FALSE,2010 BMW X5 M SUV,BMW,2010 BMW X5,2010
